City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
427,vao,NC,69.46,-22.67,167.48,Hotel Kou-Bugny
428,haines junction,CA,50.88,60.75,-137.51,Parkside Inn
429,vila,PT,57.99,42.03,-8.16,Hotel Castrum Villae
430,mitropoli,GR,64.4,39.34,21.84,Δημοτικός Ξενώνας Μητρόπολης
431,saint-pierre,RE,68.0,-21.34,55.48,Lindsey Hôtel
432,lerwick,GB,53.6,60.15,-1.15,The Lerwick Hotel
433,marsa matruh,EG,71.04,31.35,27.25,Beau Site
434,tucumcari,US,84.2,35.17,-103.72,Holiday Inn Express & Suites Tucumcari
436,hirara,JP,89.6,24.8,125.28,Hotel Atoll Emerald Miyakojima
437,black river,JM,84.2,18.03,-77.85,Idlers' Rest Beach Hotel
438,mnogovershinnyy,RU,47.61,53.94,139.92,Kvartsevaya Sopka
440,sabang,ID,81.25,5.89,95.32,Hotel Citra
441,rochefort,FR,57.2,45.92,-1.0,Hôtel de France
443,cape canaveral,US,82.4,28.41,-80.6,Residence Inn by Marriott Cape Canaveral Cocoa Beach
444,yazman,PK,101.26,29.12,71.74,Jamal sons showroom
445,kushima,JP,80.6,31.46,131.23,Hanaoka
446,redmond,US,62.01,47.67,-122.12,Seattle Marriott Redmond
447,chicama,PE,63.66,-7.84,-79.15,Hospedaje Punta Cana PERU
448,lagoa,PT,66.02,39.05,-27.98,Casa Das Faias
